Run,Age,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue
SRR6301039,129,RNA-Seq,150,1233037800,Edwin CHEUNG,PRJNA418865,SAMN08038125,Human,834020225,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402031,Illumina HiSeq 2000,RHM285_3h,RHM285_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM285_3h,female,SRP125153,breast
SRR6301040,128,RNA-Seq,150,893162700,Edwin CHEUNG,PRJNA418865,SAMN08038124,Human,606730472,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402030,Illumina HiSeq 2000,RHM284_3h,RHM284_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM284_3h,female,SRP125153,breast
SRR6301041,131,RNA-Seq,150,825779250,Edwin CHEUNG,PRJNA418865,SAMN08038127,Human,565884841,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402029,Illumina HiSeq 2000,RHM292_3h,RHM292_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM292_3h,female,SRP125153,breast
SRR6301042,130,RNA-Seq,150,1502092950,Edwin CHEUNG,PRJNA418865,SAMN08038126,Human,1016759111,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402028,Illumina HiSeq 2000,RHM287_3h,RHM287_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM287_3h,female,SRP125153,breast
SRR6301043,134,RNA-Seq,150,859659900,Edwin CHEUNG,PRJNA418865,SAMN08038130,Human,592225625,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402027,Illumina HiSeq 2000,RHM309_3h,RHM309_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM309_3h,female,SRP125153,breast
SRR6301044,135,RNA-Seq,150,717526950,Edwin CHEUNG,PRJNA418865,SAMN08038131,Human,489533411,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402026,Illumina HiSeq 2000,RHM310_3h,RHM310_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM310_3h,female,SRP125153,breast
SRR6301045,132,RNA-Seq,150,1026784800,Edwin CHEUNG,PRJNA418865,SAMN08038128,Human,698250035,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402025,Illumina HiSeq 2000,RHM293_3h,RHM293_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM293_3h,female,SRP125153,breast
SRR6301046,133,RNA-Seq,150,859396950,Edwin CHEUNG,PRJNA418865,SAMN08038129,Human,587578013,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402024,Illumina HiSeq 2000,RHM295_3h,RHM295_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM295_3h,female,SRP125153,breast
SRR6301047,138,RNA-Seq,150,914994900,Edwin CHEUNG,PRJNA418865,SAMN08038134,Human,621024428,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402023,Illumina HiSeq 2000,RHM229_6h,RHM229_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM229_6h,female,SRP125153,breast
SRR6301048,139,RNA-Seq,150,1186293750,Edwin CHEUNG,PRJNA418865,SAMN08038135,Human,807936279,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402022,Illumina HiSeq 2000,RHM237_6h,RHM237_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM237_6h,female,SRP125153,breast
SRR6301049,136,RNA-Seq,150,970145700,Edwin CHEUNG,PRJNA418865,SAMN08038132,Human,661175843,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402021,Illumina HiSeq 2000,RHM221_6h,RHM221_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM221_6h,female,SRP125153,breast
SRR6301050,137,RNA-Seq,150,1306106400,Edwin CHEUNG,PRJNA418865,SAMN08038133,Human,890176777,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402020,Illumina HiSeq 2000,RHM222_6h,RHM222_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM222_6h,female,SRP125153,breast
SRR6301051,140,RNA-Seq,150,689729700,Edwin CHEUNG,PRJNA418865,SAMN08038136,Human,470873714,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402019,Illumina HiSeq 2000,RHM239_6h,RHM239_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM239_6h,female,SRP125153,breast
SRR6301052,141,RNA-Seq,150,948832650,Edwin CHEUNG,PRJNA418865,SAMN08038137,Human,647630996,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402018,Illumina HiSeq 2000,RHM244_6h,RHM244_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM244_6h,female,SRP125153,breast
SRR6301053,151,RNA-Seq,150,862495650,Edwin CHEUNG,PRJNA418865,SAMN08038147,Human,587323369,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402017,Illumina HiSeq 2000,RHM294_6h,RHM294_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM294_6h,female,SRP125153,breast
SRR6301054,150,RNA-Seq,150,1295084100,Edwin CHEUNG,PRJNA418865,SAMN08038146,Human,874355836,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402016,Illumina HiSeq 2000,RHM286_6h,RHM286_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM286_6h,female,SRP125153,breast
SRR6301055,149,RNA-Seq,150,1001846700,Edwin CHEUNG,PRJNA418865,SAMN08038145,Human,679197927,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402015,Illumina HiSeq 2000,RHM271_6h,RHM271_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM271_6h,female,SRP125153,breast
SRR6301056,148,RNA-Seq,150,1386424050,Edwin CHEUNG,PRJNA418865,SAMN08038144,Human,944140617,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402014,Illumina HiSeq 2000,RHM270_6h,RHM270_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM270_6h,female,SRP125153,breast
SRR6301057,147,RNA-Seq,150,992029650,Edwin CHEUNG,PRJNA418865,SAMN08038143,Human,677026433,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402013,Illumina HiSeq 2000,RHM263_6h,RHM263_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM263_6h,female,SRP125153,breast
SRR6301058,146,RNA-Seq,150,1283424750,Edwin CHEUNG,PRJNA418865,SAMN08038142,Human,875026338,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402012,Illumina HiSeq 2000,RHM262_6h,RHM262_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM262_6h,female,SRP125153,breast
SRR6301059,145,RNA-Seq,150,834256500,Edwin CHEUNG,PRJNA418865,SAMN08038141,Human,568060976,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402011,Illumina HiSeq 2000,RHM260_6h,RHM260_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM260_6h,female,SRP125153,breast
SRR6301060,144,RNA-Seq,150,766933500,Edwin CHEUNG,PRJNA418865,SAMN08038140,Human,520932285,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402010,Illumina HiSeq 2000,RHM253_6h,RHM253_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM253_6h,female,SRP125153,breast
SRR6301061,143,RNA-Seq,150,291890850,Edwin CHEUNG,PRJNA418865,SAMN08038139,Human,200229470,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402009,Illumina HiSeq 2000,RHM246_6h,RHM246_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM246_6h,female,SRP125153,breast
SRR6301062,142,RNA-Seq,150,1765695900,Edwin CHEUNG,PRJNA418865,SAMN08038138,Human,1197552685,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402008,Illumina HiSeq 2000,RHM245_6h,RHM245_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM245_6h,female,SRP125153,breast
SRR6301063,69,RNA-Seq,150,1338732900,Edwin CHEUNG,PRJNA418865,SAMN08038062,Human,902603013,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402007,Illumina HiSeq 2000,RHV127_0M_100k,RHV127_0M_100k,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHV127_0M_100k,female,SRP125153,breast
SRR6301064,69,RNA-Seq,150,854362350,Edwin CHEUNG,PRJNA418865,SAMN08038063,Human,589071716,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402006,Illumina HiSeq 2000,RHV135_3M_100k,RHV135_3M_100k,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHV135_3M_100k,female,SRP125153,breast
SRR6301065,69,RNA-Seq,150,1427311500,Edwin CHEUNG,PRJNA418865,SAMN08038064,Human,966329929,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402005,Illumina HiSeq 2000,RHV143_6M_100k,RHV143_6M_100k,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHV143_6M_100k,female,SRP125153,breast
SRR6301066,69,RNA-Seq,150,1214750100,Edwin CHEUNG,PRJNA418865,SAMN08038065,Human,823233611,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402004,Illumina HiSeq 2000,RHM342_12M_100k,RHM342_12M_100k,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM342_12M_100k,female,SRP125153,breast
