Run,Age,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue
SRR6301147,NA,RNA-Seq,202,1070717160,Edwin CHEUNG,PRJNA418867,SAMN08038179,Human,405509301,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402112,Illumina HiSeq 2000,T47D_12h_B12,T47D_12h_B12,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_B12,female,SRP125154,breast
SRR6301148,NA,RNA-Seq,202,1222405424,Edwin CHEUNG,PRJNA418867,SAMN08038174,Human,462232563,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402111,Illumina HiSeq 2000,T47D_0h_H6,T47D_0h_H6,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_H6,female,SRP125154,breast
SRR6301150,NA,RNA-Seq,202,577030170,Edwin CHEUNG,PRJNA418867,SAMN08038172,Human,216752565,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402109,Illumina HiSeq 2000,T47D_0h_H2,T47D_0h_H2,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_H2,female,SRP125154,breast
SRR6301155,NA,RNA-Seq,202,990626786,Edwin CHEUNG,PRJNA418867,SAMN08038175,Human,362237204,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402104,Illumina HiSeq 2000,T47D_0h_population,T47D_0h_population,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_population,female,SRP125154,breast
SRR6301157,NA,RNA-Seq,202,1176003196,Edwin CHEUNG,PRJNA418867,SAMN08038186,Human,438913088,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402102,Illumina HiSeq 2000,T47D_12h_C8,T47D_12h_C8,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_C8,female,SRP125154,breast
SRR6301159,NA,RNA-Seq,202,905934448,Edwin CHEUNG,PRJNA418867,SAMN08038188,Human,345578169,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402100,Illumina HiSeq 2000,T47D_12h_D2,T47D_12h_D2,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_D2,female,SRP125154,breast
SRR6301161,NA,RNA-Seq,202,1115988592,Edwin CHEUNG,PRJNA418867,SAMN08038182,Human,413812326,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402098,Illumina HiSeq 2000,T47D_12h_C1,T47D_12h_C1,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_C1,female,SRP125154,breast
SRR6301163,NA,RNA-Seq,202,962773006,Edwin CHEUNG,PRJNA418867,SAMN08038184,Human,359643901,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402096,Illumina HiSeq 2000,T47D_12h_C12,T47D_12h_C12,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_C12,female,SRP125154,breast
SRR6301166,NA,RNA-Seq,202,1128333620,Edwin CHEUNG,PRJNA418867,SAMN08038153,Human,424528890,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402093,Illumina HiSeq 2000,T47D_0h_B11,T47D_0h_B11,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_B11,female,SRP125154,breast
SRR6301168,NA,RNA-Seq,202,1214476116,Edwin CHEUNG,PRJNA418867,SAMN08038151,Human,447619038,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402091,Illumina HiSeq 2000,T47D_0h_A10,T47D_0h_A10,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_A10,female,SRP125154,breast
SRR6301170,NA,RNA-Seq,202,1068092574,Edwin CHEUNG,PRJNA418867,SAMN08038157,Human,397467633,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402089,Illumina HiSeq 2000,T47D_0h_C6,T47D_0h_C6,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_C6,female,SRP125154,breast
SRR6301172,NA,RNA-Seq,202,1147210722,Edwin CHEUNG,PRJNA418867,SAMN08038155,Human,433570774,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402087,Illumina HiSeq 2000,T47D_0h_B4,T47D_0h_B4,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_B4,female,SRP125154,breast
SRR6301173,NA,RNA-Seq,202,1204061804,Edwin CHEUNG,PRJNA418867,SAMN08038156,Human,451149215,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402086,Illumina HiSeq 2000,T47D_0h_C2,T47D_0h_C2,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_C2,female,SRP125154,breast
SRR6301175,NA,RNA-Seq,202,1367086712,Edwin CHEUNG,PRJNA418867,SAMN08038160,Human,504405317,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402084,Illumina HiSeq 2000,T47D_0h_E1,T47D_0h_E1,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_E1,female,SRP125154,breast
SRR6301177,NA,RNA-Seq,202,1083107436,Edwin CHEUNG,PRJNA418867,SAMN08038239,Human,404342597,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402082,Illumina HiSeq 2000,T47D_6h_2F3,T47D_6h_2F3,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2F3,female,SRP125154,breast
SRR6301180,NA,RNA-Seq,202,1168962486,Edwin CHEUNG,PRJNA418867,SAMN08038234,Human,429406875,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402079,Illumina HiSeq 2000,T47D_6h_2E11,T47D_6h_2E11,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2E11,female,SRP125154,breast
SRR6301182,NA,RNA-Seq,202,1436208688,Edwin CHEUNG,PRJNA418867,SAMN08038236,Human,534355949,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402077,Illumina HiSeq 2000,T47D_6h_2E5,T47D_6h_2E5,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2E5,female,SRP125154,breast
SRR6301186,NA,RNA-Seq,202,1125869220,Edwin CHEUNG,PRJNA418867,SAMN08038163,Human,417790897,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402073,Illumina HiSeq 2000,T47D_0h_E9,T47D_0h_E9,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_E9,female,SRP125154,breast
SRR6301188,NA,RNA-Seq,202,1072556370,Edwin CHEUNG,PRJNA418867,SAMN08038161,Human,396274871,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402071,Illumina HiSeq 2000,T47D_0h_E11,T47D_0h_E11,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_E11,female,SRP125154,breast
SRR6301191,NA,RNA-Seq,202,1150630582,Edwin CHEUNG,PRJNA418867,SAMN08038168,Human,424518163,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402068,Illumina HiSeq 2000,T47D_0h_G12,T47D_0h_G12,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_G12,female,SRP125154,breast
SRR6301194,NA,RNA-Seq,202,1072544048,Edwin CHEUNG,PRJNA418867,SAMN08038169,Human,397621346,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402065,Illumina HiSeq 2000,T47D_0h_G3,T47D_0h_G3,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_G3,female,SRP125154,breast
SRR6301196,NA,RNA-Seq,202,762460716,Edwin CHEUNG,PRJNA418867,SAMN08038243,Human,281249612,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402063,Illumina HiSeq 2000,T47D_6h_2G6,T47D_6h_2G6,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2G6,female,SRP125154,breast
SRR6301199,NA,RNA-Seq,202,1135285046,Edwin CHEUNG,PRJNA418867,SAMN08038242,Human,422283163,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402060,Illumina HiSeq 2000,T47D_6h_2G2,T47D_6h_2G2,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2G2,female,SRP125154,breast
SRR6301202,NA,RNA-Seq,202,824677524,Edwin CHEUNG,PRJNA418867,SAMN08038218,Human,314364027,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402057,Illumina HiSeq 2000,T47D_3h_2G1,T47D_3h_2G1,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2G1,female,SRP125154,breast
SRR6301204,NA,RNA-Seq,202,1155076804,Edwin CHEUNG,PRJNA418867,SAMN08038216,Human,426477896,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402055,Illumina HiSeq 2000,T47D_3h_2E9,T47D_3h_2E9,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2E9,female,SRP125154,breast
SRR6301207,NA,RNA-Seq,202,907895666,Edwin CHEUNG,PRJNA418867,SAMN08038213,Human,340283087,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402052,Illumina HiSeq 2000,T47D_3h_2D9,T47D_3h_2D9,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2D9,female,SRP125154,breast
SRR6301209,NA,RNA-Seq,202,1167435164,Edwin CHEUNG,PRJNA418867,SAMN08038211,Human,429517644,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402050,Illumina HiSeq 2000,T47D_3h_2D10,T47D_3h_2D10,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2D10,female,SRP125154,breast
SRR6301211,NA,RNA-Seq,202,1056697148,Edwin CHEUNG,PRJNA418867,SAMN08038219,Human,394737127,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402048,Illumina HiSeq 2000,T47D_3h_2H3,T47D_3h_2H3,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2H3,female,SRP125154,breast
SRR6301212,NA,RNA-Seq,202,1072536776,Edwin CHEUNG,PRJNA418867,SAMN08038221,Human,401354183,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402047,Illumina HiSeq 2000,T47D_3h_population,T47D_3h_population,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_population,female,SRP125154,breast
SRR6301214,NA,RNA-Seq,202,939668448,Edwin CHEUNG,PRJNA418867,SAMN08038223,Human,341312012,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402045,Illumina HiSeq 2000,T47D_6h_2A10,T47D_6h_2A10,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2A10,female,SRP125154,breast
SRR6301215,NA,RNA-Seq,202,1088162688,Edwin CHEUNG,PRJNA418867,SAMN08038224,Human,403881177,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402044,Illumina HiSeq 2000,T47D_6h_2A4,T47D_6h_2A4,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2A4,female,SRP125154,breast
SRR6301217,NA,RNA-Seq,202,1224288670,Edwin CHEUNG,PRJNA418867,SAMN08038226,Human,459385494,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402042,Illumina HiSeq 2000,T47D_6h_2B3,T47D_6h_2B3,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2B3,female,SRP125154,breast
SRR6301219,NA,RNA-Seq,202,1214820930,Edwin CHEUNG,PRJNA418867,SAMN08038228,Human,450430773,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402040,Illumina HiSeq 2000,T47D_6h_2C12,T47D_6h_2C12,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_6h_2C12,female,SRP125154,breast
SRR6301127,NA,RNA-Seq,202,1125896692,Edwin CHEUNG,PRJNA418867,SAMN08038199,Human,428581307,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402132,Illumina HiSeq 2000,T47D_12h_H7,T47D_12h_H7,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_H7,female,SRP125154,breast
SRR6301129,NA,RNA-Seq,202,1132702476,Edwin CHEUNG,PRJNA418867,SAMN08038195,Human,420956192,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402130,Illumina HiSeq 2000,T47D_12h_G5,T47D_12h_G5,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_G5,female,SRP125154,breast
SRR6301132,NA,RNA-Seq,202,1101243400,Edwin CHEUNG,PRJNA418867,SAMN08038192,Human,403095806,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402127,Illumina HiSeq 2000,T47D_12h_F2,T47D_12h_F2,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_F2,female,SRP125154,breast
SRR6301134,NA,RNA-Seq,202,1284368722,Edwin CHEUNG,PRJNA418867,SAMN08038194,Human,473764246,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402125,Illumina HiSeq 2000,T47D_12h_G10,T47D_12h_G10,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_G10,female,SRP125154,breast
SRR6301136,NA,RNA-Seq,202,1151811474,Edwin CHEUNG,PRJNA418867,SAMN08038209,Human,429711059,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402123,Illumina HiSeq 2000,T47D_3h_2C1,T47D_3h_2C1,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2C1,female,SRP125154,breast
SRR6301137,NA,RNA-Seq,202,975534356,Edwin CHEUNG,PRJNA418867,SAMN08038210,Human,370903995,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402122,Illumina HiSeq 2000,T47D_3h_2C3,T47D_3h_2C3,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2C3,female,SRP125154,breast
SRR6301139,NA,RNA-Seq,202,944902874,Edwin CHEUNG,PRJNA418867,SAMN08038208,Human,354277438,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402120,Illumina HiSeq 2000,T47D_3h_2B9,T47D_3h_2B9,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2B9,female,SRP125154,breast
SRR6301141,NA,RNA-Seq,202,995185320,Edwin CHEUNG,PRJNA418867,SAMN08038206,Human,371086277,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402118,Illumina HiSeq 2000,T47D_3h_2B7,T47D_3h_2B7,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2B7,female,SRP125154,breast
SRR6301144,NA,RNA-Seq,202,1036058202,Edwin CHEUNG,PRJNA418867,SAMN08038201,Human,389359016,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402115,Illumina HiSeq 2000,T47D_3h_2A2,T47D_3h_2A2,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2A2,female,SRP125154,breast
SRR6301145,NA,RNA-Seq,202,1042348280,Edwin CHEUNG,PRJNA418867,SAMN08038202,Human,394321790,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402114,Illumina HiSeq 2000,T47D_3h_2A7,T47D_3h_2A7,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2A7,female,SRP125154,breast
SRR6301146,NA,RNA-Seq,202,1151039834,Edwin CHEUNG,PRJNA418867,SAMN08038180,Human,440275798,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402113,Illumina HiSeq 2000,T47D_12h_B5,T47D_12h_B5,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_B5,female,SRP125154,breast
SRR6301149,NA,RNA-Seq,202,1157491916,Edwin CHEUNG,PRJNA418867,SAMN08038173,Human,430235368,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402110,Illumina HiSeq 2000,T47D_0h_H5,T47D_0h_H5,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_H5,female,SRP125154,breast
SRR6301151,NA,RNA-Seq,202,1011432584,Edwin CHEUNG,PRJNA418867,SAMN08038171,Human,381454974,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402108,Illumina HiSeq 2000,T47D_0h_H11,T47D_0h_H11,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_0h_H11,female,SRP125154,breast
SRR6301152,NA,RNA-Seq,202,1077528196,Edwin CHEUNG,PRJNA418867,SAMN08038178,Human,406109891,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402107,Illumina HiSeq 2000,T47D_12h_A9,T47D_12h_A9,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_A9,female,SRP125154,breast
SRR6301153,NA,RNA-Seq,202,1119718926,Edwin CHEUNG,PRJNA418867,SAMN08038177,Human,428575989,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402106,Illumina HiSeq 2000,T47D_12h_A3,T47D_12h_A3,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_A3,female,SRP125154,breast
